,height,width,kinds,min,max,mean,std,combo10
198,6,6,8,0,5,0.68,0.8471127433818948,0
199,6,6,9,0,5,0.6,0.8944271909999159,0
200,6,7,2,12,1479,253.56,227.3270472249178,100
201,6,7,3,1,39,12.92,7.429239530396096,67
202,6,7,4,0,15,4.84,3.2022492095400694,8
203,6,7,5,0,11,2.86,2.2091627373283305,1
204,6,7,6,0,7,1.87,1.6532090007013636,0
205,6,7,7,0,5,1.32,1.1565465835840767,0
206,6,7,8,0,6,0.82,1.089770618066022,0
207,6,7,9,0,4,0.69,0.913181252545189,0
208,6,8,2,46,2680,551.99,499.1080342971851,100
209,6,8,3,0,65,16.79,11.41603696560238,76
210,6,8,4,0,20,6.1,4.255584566190643,21
211,6,8,5,0,11,3.44,2.1039011383617816,1
212,6,8,6,0,7,2.02,1.6791664598841889,0
213,6,8,7,0,6,1.34,1.3727344972717777,0
214,6,8,8,0,4,1.04,0.9372299611087984,0
215,6,8,9,0,6,0.67,1.0005498488331306,0
216,6,9,2,17,6003,1192.7,1143.8136168100116,100
217,6,9,3,3,52,19.64,10.22792256521333,86
218,6,9,4,0,17,6.06,3.489469873777391,15
219,6,9,5,0,13,3.77,2.7599094188034505,2
220,6,9,6,0,8,2.47,1.6398475538902995,0
221,6,9,7,0,6,1.76,1.484048516727132,0
222,6,9,8,0,6,1.26,1.253953747153379,0
223,6,9,9,0,4,0.93,1.0793979803575693,0
224,7,3,2,0,59,14.22,10.739255095210282,63
225,7,3,3,0,12,3.5,2.6739483914241875,3
226,7,3,4,0,6,1.58,1.6442627527253666,0
227,7,3,5,0,4,0.73,0.759670981412348,0
228,7,3,6,0,6,0.7,0.9746794344808963,0
229,7,3,7,0,3,0.37,0.610819122163018,0
230,7,3,8,0,2,0.31,0.5948949487094338,0
231,7,3,9,0,3,0.33,0.6333245613427605,0
232,7,4,2,2,152,33.97,25.036155855082864,87
233,7,4,3,0,23,5.2,4.211887937730538,14
234,7,4,4,0,10,2.87,2.143151884491624,1
235,7,4,5,0,8,1.46,1.3521834195108295,0
236,7,4,6,0,6,0.86,1.0584894897919392,0
237,7,4,7,0,5,0.8,1.104536101718726,0
238,7,4,8,0,3,0.46,0.72691127381545,0
239,7,4,9,0,4,0.49,0.7936623967405787,0
240,7,5,2,3,732,88.94,95.20512801314854,96
241,7,5,3,0,26,9.48,5.882992435827195,43
242,7,5,4,0,14,3.68,2.859650328274421,6
243,7,5,5,0,9,2.5,1.9,0
244,7,5,6,0,7,1.56,1.4374978260853126,0
245,7,5,7,0,6,1.04,1.215894732285653,0
246,7,5,8,0,5,0.53,0.8883130078975542,0
247,7,5,9,0,3,0.76,0.9393614852653903,0
248,7,6,2,13,922,211.86,191.0990852934676,100
249,7,6,3,0,56,13.13,10.081324317766988,54
250,7,6,4,0,16,5.15,3.4565155865408737,12
251,7,6,5,0,8,2.55,1.8728320800328042,0
252,7,6,6,0,7,1.81,1.5980926130859876,0
253,7,6,7,0,8,1.42,1.5695859326586743,0
254,7,6,8,0,6,0.74,1.0355674772799692,0
255,7,6,9,0,7,0.85,1.1521718621802912,0
256,7,7,2,12,2798,611.85,601.0869383874516,100
257,7,7,3,0,50,18.13,9.95656065114857,84
258,7,7,4,0,17,6.62,3.8749967741922053,19
259,7,7,5,0,11,3.13,2.175568891117907,2
260,7,7,6,0,9,2.31,1.99346432122574,0
261,7,7,7,0,8,1.82,1.6393901305058538,0
262,7,7,8,0,5,1.04,1.1217842929904125,0
263,7,7,9,0,4,0.93,1.0512373661547614,0
264,7,8,2,38,6183,1512.07,1467.145004796731,100
265,7,8,3,4,52,18.37,9.70119064857505,86
266,7,8,4,0,22,8.4,4.214261501141095,32
267,7,8,5,0,15,4.55,2.9236107812087435,8
268,7,8,6,0,7,2.3,1.6941074346097418,0
269,7,8,7,0,6,1.97,1.5903144343179434,0
270,7,8,8,0,5,1.55,1.3592277219068187,0
271,7,8,9,0,6,1.04,1.2240914998479486,0
272,7,9,2,241,13169,3361.42,2941.7969752516915,100
273,7,9,3,4,74,24.24,15.24146974540185,91
274,7,9,4,0,21,8.27,4.139698056622004,34
275,7,9,5,0,16,4.68,2.7672368890284766,6
276,7,9,6,0,9,2.97,2.0613345191889647,0
277,7,9,7,0,10,2.35,1.82414363469547,1
278,7,9,8,0,7,1.44,1.492112596287559,0
279,7,9,9,0,5,1.06,1.2555476892575608,0
280,8,3,2,0,86,21.59,16.956470741283397,71
281,8,3,3,0,15,3.79,3.16004746799791,6
282,8,3,4,0,6,1.88,1.5702229141112416,0
283,8,3,5,0,5,1.08,1.1285388783732706,0
284,8,3,6,0,4,0.8,0.9591663046625439,0
285,8,3,7,0,3,0.53,0.7410128204019146,0
